city,station_name,address,fuel_code,price,date
Ульяновск,УЦГ №№ 11м,"г. Ульяновск, ул. Димитрова 14",AI92,62.89,2025-12-07 22:31:15.080881
Ульяновск,УЦГ №№ 11м,"г. Ульяновск, ул. Димитрова 14",DIESEL,71.99,2025-12-07 22:31:15.080881
Ульяновск,УЦГ №№ 11м,"г. Ульяновск, ул. Димитрова 14",GAS,24.0,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"М-5, подъезд к Ульяновску, 200-й километр, 5, Засвияжский район, слева",AI92,59.15,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"М-5, подъезд к Ульяновску, 200-й километр, 5, Засвияжский район, слева",AI95,63.9,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"М-5, подъезд к Ульяновску, 200-й километр, 5, Засвияжский район, слева",DIESEL,71.05,2025-12-07 22:31:15.080881
Новоспасский район,Роснефть РН-Карт,"Ульяновская обл., Новоспасский р-н, п. Новоспасское, М5, 840 км + 900 м, справа",AI92,59.14,2025-12-07 22:31:15.080881
Новоспасский район,Роснефть РН-Карт,"Ульяновская обл., Новоспасский р-н, п. Новоспасское, М5, 840 км + 900 м, справа",AI95,66.39,2025-12-07 22:31:15.080881
Новоспасский район,Роснефть РН-Карт,"Ульяновская обл., Новоспасский р-н, п. Новоспасское, М5, 840 км + 900 м, справа",DIESEL,70.58,2025-12-07 22:31:15.080881
Цильнинский район,Роснефть РН-Карт,"А151, Старые Алгаши, Ульяновская обл., Россия, 433648",AI92,59.15,2025-12-07 22:31:15.080881
Цильнинский район,Роснефть РН-Карт,"А151, Старые Алгаши, Ульяновская обл., Россия, 433648",AI95,63.9,2025-12-07 22:31:15.080881
Цильнинский район,Роснефть РН-Карт,"А151, Старые Алгаши, Ульяновская обл., Россия, 433648",DIESEL,71.05,2025-12-07 22:31:15.080881
Ульяновский район,Роснефть РН-Карт,"Ульяновский район, п.Большие Ключищи, а/д Ульяновск-Сызрань, справа",AI92,59.14,2025-12-07 22:31:15.080881
Ульяновский район,Роснефть РН-Карт,"Ульяновский район, п.Большие Ключищи, а/д Ульяновск-Сызрань, справа",AI95,66.39,2025-12-07 22:31:15.080881
Ульяновский район,Роснефть РН-Карт,"Ульяновский район, п.Большие Ключищи, а/д Ульяновск-Сызрань, справа",DIESEL,71.03,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Советская ул., 1, Чердаклы, Ульяновская обл., Россия, 433400",AI92,59.14,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Советская ул., 1, Чердаклы, Ульяновская обл., Россия, 433400",AI95,66.39,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Советская ул., 1, Чердаклы, Ульяновская обл., Россия, 433400",DIESEL,71.03,2025-12-07 22:31:15.080881
Чердаклинский район,Роснефть РН-Карт,"Советская ул., 1, Чердаклы, Ульяновская обл., Россия, 433400",GAS,28.09,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Роснефть РН-Карт,"ул. Ленина, 2А, Ульяновск, Ульяновская обл., Россия, 432035",AI92,59.14,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Роснефть РН-Карт,"ул. Ленина, 2А, Ульяновск, Ульяновская обл., Россия, 432035",AI95,66.39,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Роснефть РН-Карт,"ул. Ленина, 2А, Ульяновск, Ульяновская обл., Россия, 432035",DIESEL,71.03,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Роснефть РН-Карт,"ул. Ленина, 2А, Ульяновск, Ульяновская обл., Россия, 432035",GAS,28.09,2025-12-07 22:31:15.080881
Кузоватовский район,Роснефть РН-Карт,"Советская ул., 66, Кузоватово, Ульяновская обл., Россия, 433766",AI92,59.14,2025-12-07 22:31:15.080881
Кузоватовский район,Роснефть РН-Карт,"Советская ул., 66, Кузоватово, Ульяновская обл., Россия, 433766",AI95,66.39,2025-12-07 22:31:15.080881
Кузоватовский район,Роснефть РН-Карт,"Советская ул., 66, Кузоватово, Ульяновская обл., Россия, 433766",DIESEL,70.58,2025-12-07 22:31:15.080881
Кузоватовский район,Роснефть РН-Карт,"Советская ул., 66, Кузоватово, Ульяновская обл., Россия, 433766",GAS,28.09,2025-12-07 22:31:15.080881
Вешкаймский район,Роснефть РН-Карт,"Железнодорожная ул., 2, Вешкайма, Ульяновская обл., Россия, 433100",AI92,59.14,2025-12-07 22:31:15.080881
Вешкаймский район,Роснефть РН-Карт,"Железнодорожная ул., 2, Вешкайма, Ульяновская обл., Россия, 433100",AI95,66.39,2025-12-07 22:31:15.080881
Вешкаймский район,Роснефть РН-Карт,"Железнодорожная ул., 2, Вешкайма, Ульяновская обл., Россия, 433100",DIESEL,71.03,2025-12-07 22:31:15.080881
